BHID,FROM,TO,LITO
DH0018,44.28,46.06,SAP
DH0018,46.06,47.93,SAP
DH0018,47.93,49.62,SAP
DH0018,49.62,51.47,SAP
DH0018,51.47,53.27,SAP
DH0018,53.27,54.61,LAT
DH0018,54.61,56.29,SAP
DH0018,56.29,58.18,SAP
DH0018,58.18,59.82,LAT
DH0018,59.82,61.71,LAT
DH0018,61.71,63.6,LAT
DH0018,63.6,65.19,SAP
DH0018,65.19,66.79,SAP
DH0018,66.79,68.26,LAT
DH0018,68.26,70.21,LAT
DH0018,70.21,71.77,SAP
DH0018,71.77,73.45,SAP
DH0018,73.45,75.01,SAP
DH0018,75.01,76.78,LAT
DH0018,76.78,78.47,SAP
DH0018,78.47,80.11,SAP
DH0018,80.11,81.44,LAT
DH0018,81.44,83.15,LAT
DH0018,83.15,84.76,LAT
DH0018,84.76,86.15,FRS
DH0018,86.15,87.24,LAT
DH0018,87.24,89.03,FRS
DH0018,89.03,90.37,LAT
DH0018,90.37,92.16,LAT
DH0018,92.16,93.95,FRS
DH0018,93.95,95.6,FRS
DH0018,95.6,97.44,LAT
DH0018,97.44,98.94,FRS
DH0018,98.94,100.58,LAT
DH0018,100.58,101.99,FRS
DH0018,101.99,103.72,LAT
DH0018,103.72,104.92,LAT
DH0018,104.92,106.89,LAT
DH0018,106.89,107.89,FRS
DH0018,107.89,109.25,LAT
DH0018,109.25,111.23,LAT
DH0018,111.23,113.09,LAT
DH0018,113.09,114.52,LAT
DH0018,114.52,115.94,LAT
DH0018,115.94,117.02,LAT
DH0018,117.02,118.22,LAT
DH0018,118.22,119.64,LAT
DH0018,119.64,121.43,LAT
DH0018,121.43,122.75,FRS
DH0018,122.75,124.32,LAT
DH0018,124.32,125.58,LAT
DH0018,125.58,126.84,LAT
DH0018,126.84,128.1,LAT
DH0018,128.1,129.79,LAT
DH0018,129.79,131.73,FRS
DH0018,131.73,132.88,LAT
DH0018,132.88,133.93,FRS
DH0018,133.93,135.15,LAT
DH0018,135.15,136.72,LAT
DH0018,136.72,137.8,LAT
DH0018,137.8,139.45,FRS
DH0018,139.45,140.75,LAT
DH0018,140.75,142.09,LAT
DH0018,142.09,143.8,FRS
DH0018,143.8,145.15,LAT
DH0018,145.15,146.78,LAT
DH0018,146.78,147.89,LAT
DH0018,147.89,149.44,FRS
DH0018,149.44,150.76,LAT
DH0018,150.76,152.14,FRS
DH0018,152.14,153.66,FRS
DH0018,153.66,154.75,LAT
DH0018,154.75,156.57,FRS
DH0018,156.57,158.47,FRS
DH0018,158.47,160.37,FRS
DH0018,160.37,161.41,LAT
DH0018,161.41,163.26,LAT
DH0018,163.26,164.64,FRS
DH0018,164.64,165.82,FRS
DH0018,165.82,167.23,FRS
DH0018,167.23,168.83,FRS
DH0018,168.83,170.17,LAT
DH0018,170.17,171.5,LAT
DH0018,171.5,172.92,FRS
DH0018,172.92,174.49,LAT
DH0018,174.49,175.58,LAT
DH0018,175.58,177.43,LAT
DH0018,177.43,178.75,LAT
DH0018,178.75,179.76,LAT
DH0018,179.76,180.92,FRS
DH0018,180.92,182.23,FRS
DH0018,182.23,183.65,FRS
DH0018,183.65,185.28,LAT
DH0018,185.28,186.58,LAT
DH0018,186.58,187.75,FRS
DH0018,187.75,189.23,FRS
DH0018,189.23,190.71,FRS
DH0018,190.71,192.63,FRS
DH0018,192.63,194.07,LAT
DH0018,194.07,195.81,FRS
DH0018,195.81,197.06,FRS
DH0018,197.06,198.9,LAT
DH0018,198.9,200.42,FRS
DH0018,200.42,201.6,DUN
DH0018,201.6,203.24,FRS
DH0018,203.24,204.74,FRS
DH0018,204.74,205.98,DUN
DH0018,205.98,207.88,FRS
DH0018,207.88,209.79,FRS
DH0018,209.79,211.22,FRS
DH0018,211.22,212.83,DUN
DH0018,212.83,213.88,DUN
DH0018,213.88,215.58,DUN
DH0018,215.58,217.54,FRS
DH0018,217.54,218.92,FRS
DH0018,218.92,220.73,FRS
DH0018,220.73,221.81,FRS
DH0018,221.81,222.84,FRS
DH0018,222.84,224.51,FRS
DH0018,224.51,226.26,FRS
DH0018,226.26,227.64,DUN
DH0018,227.64,229.63,FRS
DH0018,229.63,231.06,FRS
DH0018,231.06,232.36,FRS
DH0018,232.36,233.98,FRS
DH0018,233.98,235.23,FRS
DH0018,235.23,236.66,DUN
DH0018,236.66,237.89,FRS
DH0018,237.89,239.55,FRS
DH0018,239.55,241.42,FRS
DH0018,241.42,243.38,FRS
DH0018,243.38,244.58,FRS
DH0018,244.58,246.4,FRS
DH0018,246.4,248.13,FRS
DH0018,248.13,249.45,FRS
DH0018,249.45,250.71,DUN
DH0018,250.71,252.18,FRS
DH0018,252.18,253.27,FRS
DH0018,253.27,255.18,FRS
DH0018,255.18,256.84,DUN
DH0018,256.84,258.31,FRS
DH0018,258.31,260.25,FRS
DH0018,260.25,261.61,DUN
DH0018,261.61,262.61,FRS
DH0018,262.61,263.71,FRS
DH0018,263.71,265.37,DUN
DH0018,265.37,266.82,DUN
DH0018,266.82,268.2,DUN
DH0018,268.2,269.31,FRS
DH0018,269.31,271.05,FRS
DH0018,271.05,272.85,FRS
DH0018,272.85,274.3,FRS
DH0018,274.3,275.82,FRS
DH0018,275.82,277.39,FRS
DH0018,277.39,278.48,FRS
DH0018,278.48,279.57,FRS
DH0018,279.57,280.6,DUN
DH0018,280.6,282.56,DUN
DH0018,282.56,283.88,FRS
DH0018,283.88,285.25,DUN
DH0018,285.25,287.16,FRS
DH0018,287.16,288.42,FRS
DH0018,288.42,290.35,DUN
DH0018,290.35,291.39,DUN
DH0018,291.39,293.14,DUN
DH0018,293.14,294.97,DUN
DH0018,294.97,296.37,FRS
DH0018,296.37,297.64,FRS
DH0018,297.64,299.21,FRS
DH0018,299.21,301.02,DUN
DH0018,301.02,302.72,DUN
DH0018,302.72,304.68,FRS
DH0018,304.68,305.91,FRS
DH0018,305.91,307.37,DUN
DH0018,307.37,308.99,FRS
DH0018,308.99,310.62,FRS
DH0018,310.62,311.86,FRS
DH0018,311.86,313.17,DUN
DH0018,313.17,314.38,FRS
DH0018,314.38,316.1,FRS
DH0018,316.1,317.63,FRS
DH0018,317.63,319.36,FRS
DH0018,319.36,320.83,DUN
DH0018,320.83,321.97,DUN
DH0018,321.97,323.83,DUN
DH0018,323.83,325.37,PER
DH0018,325.37,327.17,DUN
DH0018,327.17,328.78,DUN
DH0018,328.78,330.18,DUN
DH0018,330.18,331.41,DUN
DH0018,331.41,332.74,DUN
DH0018,332.74,334.13,DUN
DH0018,334.13,335.68,DUN
DH0018,335.68,337.54,DUN
DH0018,337.54,339.29,DUN
DH0018,339.29,340.65,DUN
DH0018,340.65,341.88,DUN
DH0018,341.88,343.69,DUN
DH0018,343.69,345.51,DUN
DH0018,345.51,347.05,DUN
DH0018,347.05,348.56,DUN
DH0018,348.56,350.17,PER
DH0018,350.17,351.97,DUN
DH0018,351.97,353.24,DUN
DH0018,353.24,354.26,DUN
DH0018,354.26,355.51,DUN
DH0018,355.51,356.63,DUN
DH0018,356.63,357.78,DUN
DH0018,357.78,359.42,DUN
DH0018,359.42,360.61,DUN
DH0018,360.61,362.43,DUN
DH0018,362.43,363.67,DUN
DH0018,363.67,365.44,DUN
DH0018,365.44,366.68,DUN
DH0018,366.68,368.31,DUN
DH0018,368.31,369.99,DUN
DH0018,369.99,371.34,DUN
DH0018,371.34,372.73,DUN
DH0018,372.73,374.71,DUN
DH0018,374.71,376.7,DUN
DH0018,376.7,378.64,DUN
DH0018,378.64,379.78,DUN
DH0018,379.78,380.94,DUN
DH0018,380.94,382.47,PER
DH0018,382.47,383.7,DUN
DH0018,383.7,385.31,DUN
DH0018,385.31,386.7,DUN
DH0018,386.7,388.59,DUN
DH0018,388.59,389.74,PER
DH0018,389.74,391.26,PER
DH0018,391.26,393.2,DUN
DH0018,393.2,394.27,DUN
DH0018,394.27,396.12,DUN
DH0018,396.12,397.67,DUN
DH0018,397.67,399.27,DUN
DH0018,399.27,400.0,DUN
DH0019,0.0,1.91,LAT
DH0019,1.91,3.42,LAT
DH0019,3.42,4.92,LAT
DH0019,4.92,6.31,LAT
DH0019,6.31,8.27,SAP
DH0019,8.27,10.0,SAP
DH0019,10.0,11.11,SAP
DH0019,11.11,12.61,SAP
DH0019,12.61,14.17,SAP
DH0019,14.17,15.4,SAP
DH0019,15.4,17.06,SAP
DH0019,17.06,18.13,SAP
DH0019,18.13,19.5,LAT
DH0019,19.5,21.45,SAP
DH0019,21.45,23.1,SAP
DH0019,23.1,24.74,SAP
DH0019,24.74,26.02,LAT
DH0019,26.02,27.85,LAT
DH0019,27.85,29.82,FRS
DH0019,29.82,31.34,LAT
DH0019,31.34,32.91,LAT
DH0019,32.91,34.19,LAT
DH0019,34.19,35.35,FRS
DH0019,35.35,36.63,LAT
DH0019,36.63,38.43,FRS
DH0019,38.43,39.54,LAT
DH0019,39.54,41.4,LAT
DH0019,41.4,42.73,LAT
DH0019,42.73,44.47,FRS
DH0019,44.47,46.01,FRS
DH0019,46.01,47.67,LAT
DH0019,47.67,48.97,LAT
DH0019,48.97,50.02,FRS
DH0019,50.02,51.31,LAT
DH0019,51.31,53.04,FRS
DH0019,53.04,54.21,LAT
DH0019,54.21,55.92,FRS
DH0019,55.92,57.89,FRS
DH0019,57.89,59.32,LAT
DH0019,59.32,60.95,LAT
DH0019,60.95,62.86,FRS
DH0019,62.86,64.18,DUN
DH0019,64.18,65.39,DUN
DH0019,65.39,67.27,FRS
DH0019,67.27,68.74,FRS
DH0019,68.74,70.56,FRS
DH0019,70.56,71.77,FRS
DH0019,71.77,73.01,FRS
DH0019,73.01,74.06,FRS
DH0019,74.06,75.92,FRS
DH0019,75.92,77.28,DUN
DH0019,77.28,78.37,DUN
DH0019,78.37,80.31,FRS
DH0019,80.31,82.1,FRS
DH0019,82.1,83.15,DUN
DH0019,83.15,84.38,FRS
DH0019,84.38,85.87,FRS
DH0019,85.87,87.18,FRS
DH0019,87.18,89.13,FRS
DH0019,89.13,90.23,DUN
DH0019,90.23,92.13,FRS
DH0019,92.13,93.53,FRS
DH0019,93.53,94.63,FRS
DH0019,94.63,95.9,DUN
DH0019,95.9,97.07,DUN
DH0019,97.07,98.83,DUN
DH0019,98.83,100.48,DUN
DH0019,100.48,102.1,DUN
DH0019,102.1,103.53,DUN
DH0019,103.53,104.6,DUN
DH0019,104.6,105.67,PER
DH0019,105.67,107.21,DUN
DH0019,107.21,108.26,DUN
DH0019,108.26,109.8,DUN
DH0019,109.8,111.26,DUN
DH0019,111.26,113.0,DUN
DH0019,113.0,114.02,DUN
DH0019,114.02,115.78,DUN
DH0019,115.78,117.25,DUN
DH0019,117.25,118.59,PER
DH0019,118.59,119.3,PER
DH0020,0.0,1.33,SAP
DH0020,1.33,3.22,SAP
DH0020,3.22,4.72,SAP
DH0020,4.72,6.43,LAT
DH0020,6.43,7.87,SAP
DH0020,7.87,9.58,SAP
DH0020,9.58,11.0,SAP
DH0020,11.0,12.9,LAT
DH0020,12.9,13.95,SAP
DH0020,13.95,15.19,SAP
DH0020,15.19,16.32,SAP
DH0020,16.32,17.36,SAP
DH0020,17.36,18.78,SAP
DH0020,18.78,20.7,LAT
DH0020,20.7,22.06,SAP
DH0020,22.06,23.49,SAP
DH0020,23.49,25.37,LAT
DH0020,25.37,26.67,SAP
DH0020,26.67,28.3,SAP
DH0020,28.3,29.73,LAT
DH0020,29.73,31.47,LAT
DH0020,31.47,33.45,SAP
DH0020,33.45,34.83,SAP
DH0020,34.83,35.89,LAT
DH0020,35.89,37.13,SAP
DH0020,37.13,38.8,SAP
DH0020,38.8,40.59,SAP
DH0020,40.59,42.28,SAP
DH0020,42.28,44.13,SAP
DH0020,44.13,45.92,SAP
DH0020,45.92,47.63,SAP
DH0020,47.63,49.23,LAT
DH0020,49.23,50.32,LAT
DH0020,50.32,51.79,FRS
DH0020,51.79,53.09,LAT
DH0020,53.09,54.18,FRS
DH0020,54.18,55.81,FRS
DH0020,55.81,56.85,FRS
DH0020,56.85,58.71,LAT
DH0020,58.71,60.63,LAT
DH0020,60.63,62.59,LAT
DH0020,62.59,63.76,FRS
DH0020,63.76,65.24,LAT
DH0020,65.24,66.45,FRS
DH0020,66.45,67.69,LAT
DH0020,67.69,68.8,FRS
DH0020,68.8,70.19,FRS
DH0020,70.19,71.57,LAT
DH0020,71.57,73.42,FRS
DH0020,73.42,75.31,FRS
DH0020,75.31,76.44,LAT
DH0020,76.44,77.76,LAT
DH0020,77.76,79.47,FRS
DH0020,79.47,81.12,LAT
DH0020,81.12,82.65,LAT
DH0020,82.65,84.6,LAT
DH0020,84.6,86.43,LAT
DH0020,86.43,88.02,LAT
DH0020,88.02,89.97,FRS
DH0020,89.97,91.68,FRS
DH0020,91.68,92.9,LAT
DH0020,92.9,94.03,FRS
DH0020,94.03,95.81,LAT
DH0020,95.81,97.14,LAT
DH0020,97.14,98.2,FRS
DH0020,98.2,99.86,LAT
DH0020,99.86,101.24,FRS
DH0020,101.24,102.61,LAT
DH0020,102.61,104.19,LAT
DH0020,104.19,105.58,FRS
DH0020,105.58,106.77,LAT
DH0020,106.77,107.92,LAT
DH0020,107.92,109.65,LAT
DH0020,109.65,111.19,LAT
DH0020,111.19,112.91,LAT
DH0020,112.91,114.24,LAT
DH0020,114.24,115.76,FRS
DH0020,115.76,117.47,LAT
DH0020,117.47,119.43,FRS
DH0020,119.43,121.11,FRS
DH0020,121.11,122.6,FRS
DH0020,122.6,124.54,DUN
DH0020,124.54,126.42,DUN
DH0020,126.42,127.92,FRS
DH0020,127.92,129.63,FRS
DH0020,129.63,130.94,FRS
DH0020,130.94,132.13,DUN
DH0020,132.13,133.32,FRS
DH0020,133.32,135.24,FRS
DH0020,135.24,136.79,FRS
DH0020,136.79,137.96,DUN
DH0020,137.96,139.17,FRS
DH0020,139.17,141.08,FRS
DH0020,141.08,142.7,FRS
DH0020,142.7,143.92,DUN
DH0020,143.92,145.22,DUN
DH0020,145.22,146.7,DUN
DH0020,146.7,148.51,FRS
DH0020,148.51,150.01,FRS
DH0020,150.01,151.27,DUN
DH0020,151.27,153.03,FRS
DH0020,153.03,154.56,FRS
DH0020,154.56,156.55,FRS
DH0020,156.55,158.06,DUN
DH0020,158.06,159.78,FRS
DH0020,159.78,160.92,FRS
DH0020,160.92,162.44,FRS
DH0020,162.44,163.77,FRS
DH0020,163.77,165.47,FRS
DH0020,165.47,167.29,DUN
DH0020,167.29,168.3,FRS
DH0020,168.3,169.81,DUN
DH0020,169.81,171.7,FRS
DH0020,171.7,173.08,FRS
DH0020,173.08,174.84,FRS
DH0020,174.84,175.97,DUN
DH0020,175.97,177.63,FRS
DH0020,177.63,178.97,DUN
DH0020,178.97,180.81,FRS
DH0020,180.81,182.38,FRS
DH0020,182.38,184.2,FRS
DH0020,184.2,185.85,FRS
DH0020,185.85,187.82,FRS
DH0020,187.82,189.71,PER
DH0020,189.71,191.13,DUN
DH0020,191.13,193.09,DUN
DH0020,193.09,194.22,DUN
DH0020,194.22,196.12,DUN
DH0020,196.12,197.65,DUN
DH0020,197.65,199.56,DUN
DH0020,199.56,201.43,DUN
DH0020,201.43,203.12,PER
DH0020,203.12,205.09,DUN
DH0020,205.09,206.67,DUN
DH0020,206.67,208.46,DUN
DH0020,208.46,209.81,DUN
DH0020,209.81,211.53,DUN
DH0020,211.53,212.62,DUN
DH0020,212.62,214.29,DUN
DH0020,214.29,215.76,DUN
DH0020,215.76,217.2,PER
DH0020,217.2,218.45,DUN
DH0020,218.45,220.27,DUN
DH0020,220.27,221.33,DUN
DH0020,221.33,222.95,DUN
DH0020,222.95,224.66,DUN
DH0020,224.66,225.76,DUN
DH0020,225.76,227.74,DUN
DH0020,227.74,228.87,PER
DH0020,228.87,230.77,DUN
DH0020,230.77,231.91,DUN
DH0020,231.91,232.48,DUN
DH0021,0.0,1.25,SAP
DH0021,1.25,2.89,LAT
DH0021,2.89,4.54,LAT
DH0021,4.54,5.93,SAP
DH0021,5.93,7.74,SAP
DH0021,7.74,9.46,SAP
DH0021,9.46,10.54,SAP
DH0021,10.54,11.64,LAT
DH0021,11.64,13.26,SAP
DH0021,13.26,14.6,SAP
DH0021,14.6,16.52,SAP
DH0021,16.52,17.66,SAP
DH0021,17.66,18.81,SAP
DH0021,18.81,20.65,LAT
DH0021,20.65,21.82,LAT
DH0021,21.82,22.93,LAT
DH0021,22.93,24.14,FRS
DH0021,24.14,25.18,FRS
DH0021,25.18,26.75,LAT
DH0021,26.75,27.92,LAT
DH0021,27.92,29.27,LAT
DH0021,29.27,30.65,LAT
DH0021,30.65,32.21,FRS
DH0021,32.21,34.19,LAT
DH0021,34.19,35.82,LAT
DH0021,35.82,37.11,FRS
DH0021,37.11,38.22,LAT
DH0021,38.22,39.45,FRS
DH0021,39.45,40.57,FRS
DH0021,40.57,42.47,LAT
DH0021,42.47,44.0,LAT
DH0021,44.0,45.99,FRS
DH0021,45.99,47.57,LAT
DH0021,47.57,49.11,FRS
DH0021,49.11,51.06,DUN
DH0021,51.06,52.57,FRS
DH0021,52.57,54.2,FRS
DH0021,54.2,55.37,DUN
DH0021,55.37,56.7,FRS
DH0021,56.7,58.62,DUN
DH0021,58.62,60.61,DUN
DH0021,60.61,61.93,FRS
DH0021,61.93,63.79,FRS
DH0021,63.79,65.28,DUN
DH0021,65.28,67.21,FRS
DH0021,67.21,68.8,FRS
DH0021,68.8,70.44,FRS
DH0021,70.44,72.39,FRS
DH0021,72.39,73.72,DUN
DH0021,73.72,75.03,FRS
DH0021,75.03,76.86,FRS
DH0021,76.86,77.86,PER
DH0021,77.86,79.26,DUN
DH0021,79.26,80.35,PER
DH0021,80.35,82.04,PER
DH0021,82.04,83.88,DUN
DH0021,83.88,85.07,DUN
DH0021,85.07,86.89,PER
DH0021,86.89,88.22,DUN
DH0021,88.22,90.18,DUN
DH0021,90.18,91.21,DUN
DH0021,91.21,92.99,DUN
DH0021,92.99,94.25,DUN
DH0022,0.0,1.42,SAP
DH0022,1.42,3.03,LAT
DH0022,3.03,4.75,SAP
DH0022,4.75,6.02,SAP
DH0022,6.02,7.53,SAP
DH0022,7.53,9.44,SAP
DH0022,9.44,10.44,SAP
DH0022,10.44,11.53,SAP
DH0022,11.53,13.24,LAT
DH0022,13.24,14.46,SAP
DH0022,14.46,15.84,SAP
DH0022,15.84,17.09,SAP
DH0022,17.09,18.86,LAT
DH0022,18.86,20.26,SAP
DH0022,20.26,21.33,SAP
DH0022,21.33,22.46,SAP
DH0022,22.46,24.39,LAT
DH0022,24.39,25.63,LAT
DH0022,25.63,27.26,SAP
DH0022,27.26,28.53,LAT
DH0022,28.53,30.43,SAP
DH0022,30.43,32.17,SAP
DH0022,32.17,33.51,LAT
DH0022,33.51,35.27,SAP
DH0022,35.27,37.15,LAT
DH0022,37.15,38.65,SAP
DH0022,38.65,39.79,SAP
DH0022,39.79,41.52,SAP
DH0022,41.52,43.29,SAP
DH0022,43.29,44.52,LAT
DH0022,44.52,46.35,LAT
DH0022,46.35,47.51,SAP
DH0022,47.51,48.71,SAP
DH0022,48.71,50.09,SAP
DH0022,50.09,51.7,SAP
DH0022,51.7,53.22,SAP
DH0022,53.22,54.91,SAP
DH0022,54.91,56.5,SAP
DH0022,56.5,58.03,SAP
DH0022,58.03,59.18,SAP
DH0022,59.18,60.63,LAT
DH0022,60.63,61.7,SAP
DH0022,61.7,62.87,LAT
DH0022,62.87,64.47,SAP
DH0022,64.47,66.09,LAT
DH0022,66.09,67.5,LAT
DH0022,67.5,69.14,SAP
DH0022,69.14,70.61,SAP
DH0022,70.61,71.69,SAP
DH0022,71.69,72.69,SAP
DH0022,72.69,73.96,LAT
DH0022,73.96,75.43,SAP
DH0022,75.43,77.14,SAP
DH0022,77.14,78.59,LAT
DH0022,78.59,80.55,SAP
DH0022,80.55,81.97,LAT
DH0022,81.97,83.3,LAT
DH0022,83.3,84.66,FRS
DH0022,84.66,86.29,LAT
DH0022,86.29,87.71,LAT
DH0022,87.71,88.77,FRS
DH0022,88.77,89.98,FRS
DH0022,89.98,91.57,LAT
DH0022,91.57,93.18,LAT
DH0022,93.18,95.11,LAT
DH0022,95.11,97.05,LAT
DH0022,97.05,98.73,FRS
DH0022,98.73,100.7,LAT
DH0022,100.7,102.47,FRS
DH0022,102.47,103.63,LAT
DH0022,103.63,104.7,LAT
DH0022,104.7,106.24,FRS
DH0022,106.24,107.33,LAT
DH0022,107.33,108.82,LAT
DH0022,108.82,109.99,FRS
DH0022,109.99,111.84,LAT
DH0022,111.84,113.47,FRS
DH0022,113.47,114.58,LAT
DH0022,114.58,116.45,FRS
DH0022,116.45,118.16,LAT
DH0022,118.16,120.06,LAT
DH0022,120.06,121.12,LAT
DH0022,121.12,122.86,FRS
DH0022,122.86,124.67,LAT
DH0022,124.67,125.95,LAT
DH0022,125.95,127.9,FRS
DH0022,127.9,129.41,LAT
DH0022,129.41,130.57,LAT
DH0022,130.57,132.39,LAT
DH0022,132.39,133.41,LAT
DH0022,133.41,134.73,LAT
DH0022,134.73,135.97,FRS
DH0022,135.97,137.87,FRS
DH0022,137.87,139.31,LAT
DH0022,139.31,141.05,FRS
DH0022,141.05,142.28,LAT
DH0022,142.28,144.18,FRS
DH0022,144.18,145.5,LAT
DH0022,145.5,146.65,LAT
DH0022,146.65,148.04,LAT
DH0022,148.04,149.93,LAT
DH0022,149.93,151.79,LAT
DH0022,151.79,152.83,FRS
DH0022,152.83,154.75,FRS
DH0022,154.75,156.49,FRS
DH0022,156.49,157.91,LAT
DH0022,157.91,159.6,FRS
DH0022,159.6,161.01,FRS
DH0022,161.01,162.81,LAT
DH0022,162.81,164.54,LAT
DH0022,164.54,166.13,FRS
DH0022,166.13,167.26,FRS
DH0022,167.26,168.72,FRS
DH0022,168.72,170.31,LAT
DH0022,170.31,172.01,FRS
DH0022,172.01,173.7,LAT
DH0022,173.7,174.75,FRS
DH0022,174.75,175.93,FRS
DH0022,175.93,177.1,LAT
DH0022,177.1,178.18,LAT
DH0022,178.18,179.37,LAT
DH0022,179.37,181.05,FRS
DH0022,181.05,182.5,FRS
DH0022,182.5,184.37,LAT
DH0022,184.37,186.34,LAT
DH0022,186.34,187.99,FRS
DH0022,187.99,189.52,LAT
DH0022,189.52,191.19,LAT
DH0022,191.19,193.02,LAT
DH0022,193.02,194.84,FRS
DH0022,194.84,195.91,LAT
DH0022,195.91,197.19,LAT
DH0022,197.19,198.98,DUN
DH0022,198.98,200.22,DUN
DH0022,200.22,201.6,DUN
DH0022,201.6,203.55,FRS
DH0022,203.55,205.41,FRS
DH0022,205.41,206.74,FRS
DH0022,206.74,208.74,DUN
DH0022,208.74,209.77,FRS
DH0022,209.77,210.99,FRS
DH0022,210.99,212.81,FRS
DH0022,212.81,213.96,DUN
DH0022,213.96,215.0,FRS
DH0022,215.0,216.22,FRS
DH0022,216.22,218.17,FRS
DH0022,218.17,220.15,FRS
DH0022,220.15,221.44,FRS
DH0022,221.44,223.05,FRS
DH0022,223.05,224.4,DUN
DH0022,224.4,226.37,DUN
DH0022,226.37,227.48,DUN
DH0022,227.48,228.83,FRS
DH0022,228.83,230.66,FRS
DH0022,230.66,232.65,FRS
DH0022,232.65,234.06,DUN
DH0022,234.06,235.62,FRS
DH0022,235.62,236.92,FRS
DH0022,236.92,238.15,DUN
DH0022,238.15,239.17,FRS
DH0022,239.17,240.59,DUN
DH0022,240.59,242.3,FRS
DH0022,242.3,243.88,DUN
DH0022,243.88,245.38,FRS
DH0022,245.38,247.33,DUN
DH0022,247.33,248.87,DUN
DH0022,248.87,249.92,FRS
DH0022,249.92,251.52,FRS
DH0022,251.52,252.58,FRS
DH0022,252.58,254.25,FRS
DH0022,254.25,256.18,DUN
DH0022,256.18,257.8,FRS
DH0022,257.8,259.24,FRS
DH0022,259.24,261.13,FRS
DH0022,261.13,262.25,FRS
DH0022,262.25,263.86,FRS
DH0022,263.86,264.94,DUN
DH0022,264.94,266.69,DUN
DH0022,266.69,268.66,FRS
DH0022,268.66,270.14,FRS
DH0022,270.14,271.86,FRS
DH0022,271.86,273.51,DUN
DH0022,273.51,274.92,FRS
DH0022,274.92,276.69,DUN
DH0022,276.69,278.27,FRS
DH0022,278.27,279.6,FRS
DH0022,279.6,280.67,DUN
DH0022,280.67,281.7,DUN
DH0022,281.7,283.18,FRS
DH0022,283.18,284.87,FRS
DH0022,284.87,286.66,FRS
DH0022,286.66,287.98,DUN
DH0022,287.98,289.58,DUN
DH0022,289.58,290.81,FRS
DH0022,290.81,292.69,FRS
DH0022,292.69,294.56,FRS
DH0022,294.56,295.73,FRS
DH0022,295.73,297.42,FRS
DH0022,297.42,299.07,FRS
DH0022,299.07,300.19,FRS
DH0022,300.19,301.66,FRS
DH0022,301.66,302.69,DUN
DH0022,302.69,304.29,FRS
DH0022,304.29,305.38,FRS
DH0022,305.38,306.5,FRS
DH0022,306.5,307.71,DUN
DH0022,307.71,309.2,FRS
DH0022,309.2,310.51,DUN
DH0022,310.51,311.89,FRS
DH0022,311.89,313.04,FRS
DH0022,313.04,314.08,FRS
DH0022,314.08,315.6,FRS
DH0022,315.6,317.14,DUN
DH0022,317.14,318.47,DUN
DH0022,318.47,320.45,DUN
DH0022,320.45,321.71,DUN
DH0022,321.71,323.45,DUN
DH0022,323.45,324.8,PER
DH0022,324.8,326.03,PER
DH0022,326.03,327.48,DUN
DH0022,327.48,328.51,DUN
DH0022,328.51,330.47,DUN
DH0022,330.47,331.94,PER
DH0022,331.94,333.1,DUN
DH0022,333.1,334.19,DUN
DH0022,334.19,335.33,DUN
DH0022,335.33,336.44,PER
DH0022,336.44,337.58,DUN
DH0022,337.58,339.45,DUN
DH0022,339.45,341.23,PER
DH0022,341.23,342.83,DUN
DH0022,342.83,344.65,DUN
DH0022,344.65,346.34,DUN
DH0022,346.34,347.64,PER
DH0022,347.64,349.63,PER
DH0022,349.63,351.04,DUN
DH0022,351.04,352.62,DUN
DH0022,352.62,353.85,DUN
DH0022,353.85,355.82,PER
DH0022,355.82,357.51,DUN
DH0022,357.51,359.46,DUN
DH0022,359.46,361.06,DUN
DH0022,361.06,362.36,PER
DH0022,362.36,363.87,PER
DH0022,363.87,365.27,PER
DH0022,365.27,366.51,PER
DH0022,366.51,368.01,PER
DH0022,368.01,369.95,DUN
DH0022,369.95,371.06,DUN
DH0022,371.06,372.78,DUN
DH0022,372.78,374.1,PER
DH0022,374.1,375.69,DUN
DH0022,375.69,376.84,DUN
DH0022,376.84,378.51,DUN
DH0022,378.51,379.8,PER
DH0022,379.8,381.13,PER
DH0022,381.13,382.47,DUN
DH0022,382.47,384.16,DUN
DH0022,384.16,385.53,DUN
DH0022,385.53,387.34,DUN
DH0022,387.34,388.42,PER
DH0022,388.42,389.45,DUN
DH0022,389.45,390.6,PER
DH0022,390.6,392.08,DUN
DH0022,392.08,393.16,DUN
DH0022,393.16,393.86,DUN
DH0023,0.0,1.69,SAP
DH0023,1.69,3.53,LAT
DH0023,3.53,5.22,SAP
DH0023,5.22,6.98,SAP
DH0023,6.98,8.98,LAT
DH0023,8.98,10.54,SAP
DH0023,10.54,12.09,LAT
DH0023,12.09,13.69,SAP
DH0023,13.69,15.3,SAP
DH0023,15.3,17.22,LAT
DH0023,17.22,18.29,LAT
DH0023,18.29,19.49,SAP
DH0023,19.49,21.13,SAP
DH0023,21.13,22.29,SAP
DH0023,22.29,24.09,SAP
DH0023,24.09,25.92,LAT
DH0023,25.92,27.66,LAT
DH0023,27.66,28.84,LAT
DH0023,28.84,30.23,LAT
DH0023,30.23,32.16,SAP
DH0023,32.16,34.16,SAP
DH0023,34.16,35.29,SAP
DH0023,35.29,37.24,SAP
DH0023,37.24,38.55,SAP
DH0023,38.55,40.05,SAP
DH0023,40.05,41.41,SAP
