BHID,FROM,TO,TARGET,NI,SI,MG
DH0027,95.35,97.18,North_Zone,0.609,45.4,18.68
DH0027,97.18,99.1,North_Zone,1.797,42.56,19.05
DH0027,99.1,101.05,North_Zone,1.525,48.89,14.89
DH0027,101.05,103.02,North_Zone,0.82,40.82,28.3
DH0027,103.02,104.08,North_Zone,1.294,53.63,19.05
DH0027,104.08,105.61,North_Zone,0.776,34.45,12.94
DH0027,105.61,107.03,North_Zone,0.962,49.81,9.15
DH0027,107.03,108.73,North_Zone,0.479,49.73,27.29
DH0027,108.73,110.57,North_Zone,0.458,43.05,29.57
DH0027,110.57,111.58,North_Zone,0.361,41.88,20.82
DH0027,111.58,113.18,North_Zone,2.286,48.79,8.16
DH0027,113.18,114.29,North_Zone,1.995,45.22,20.24
DH0027,114.29,115.57,North_Zone,0.37,38.38,18.49
DH0027,115.57,116.76,North_Zone,0.77,37.27,14.25
DH0027,116.76,118.4,North_Zone,0.217,41.94,26.23
DH0027,118.4,120.15,North_Zone,1.311,38.63,29.53
DH0027,120.15,122.04,North_Zone,1.912,46.71,10.82
DH0027,122.04,123.25,North_Zone,1.316,52.8,16.92
DH0027,123.25,125.15,North_Zone,1.315,48.54,16.43
DH0027,125.15,127.1,North_Zone,1.599,48.95,7.32
DH0027,127.1,128.73,North_Zone,1.025,48.24,8.25
DH0027,128.73,130.11,North_Zone,1.232,54.44,9.98
DH0027,130.11,131.21,North_Zone,0.864,48.52,21.2
DH0027,131.21,132.87,North_Zone,1.143,41.11,17.3
DH0027,132.87,134.75,North_Zone,1.428,56.48,26.22
DH0027,134.75,136.61,North_Zone,0.916,44.23,18.2
DH0027,136.61,138.14,North_Zone,0.437,40.28,22.57
DH0027,138.14,140.07,North_Zone,0.679,39.28,16.39
DH0027,140.07,141.75,North_Zone,2.08,50.05,14.99
DH0027,141.75,143.57,North_Zone,1.115,33.42,19.44
DH0027,143.57,145.3,North_Zone,0.507,43.91,21.46
DH0027,145.3,146.78,North_Zone,1.204,41.49,16.63
DH0027,146.78,148.35,North_Zone,0.5,40.34,18.95
DH0027,148.35,149.77,North_Zone,0.93,37.26,19.9
DH0027,149.77,151.24,North_Zone,1.032,40.7,13.97
DH0027,151.24,152.25,North_Zone,0.975,34.14,14.76
DH0027,152.25,153.26,North_Zone,1.056,36.83,20.79
DH0027,153.26,154.37,North_Zone,0.364,45.63,22.71
DH0027,154.37,156.31,North_Zone,0.595,41.91,25.04
DH0027,156.31,158.29,North_Zone,0.815,43.68,25.8
DH0027,158.29,159.55,North_Zone,0.596,43.2,19.57
DH0027,159.55,161.05,North_Zone,0.314,41.61,26.16
DH0027,161.05,163.02,North_Zone,0.355,35.78,19.25
DH0027,163.02,164.26,North_Zone,0.138,41.16,22.86
DH0027,164.26,166.23,North_Zone,0.39,34.47,23.44
DH0027,166.23,168.15,North_Zone,0.804,52.13,15.9
DH0027,168.15,169.73,North_Zone,0.332,40.35,18.09
DH0027,169.73,170.9,North_Zone,0.152,44.87,11.96
DH0027,170.9,172.55,North_Zone,0.345,39.5,21.27
DH0027,172.55,174.29,North_Zone,1.486,42.46,18.66
DH0027,174.29,175.57,North_Zone,0.01,43.47,16.06
DH0027,175.57,176.94,North_Zone,0.458,39.53,23.0
DH0028,0.0,1.61,South_Zone,1.235,37.8,14.29
DH0028,1.61,2.94,South_Zone,2.545,41.27,14.87
DH0028,2.94,4.1,South_Zone,1.135,55.93,10.69
DH0028,4.1,5.92,South_Zone,1.914,48.27,11.03
DH0028,5.92,7.18,South_Zone,1.636,32.92,1.54
DH0028,7.18,8.74,South_Zone,4.161,43.83,8.0
DH0028,8.74,9.79,South_Zone,2.473,52.18,14.41
DH0028,9.79,11.5,South_Zone,1.575,52.43,10.69
DH0028,11.5,12.88,South_Zone,3.694,33.21,8.0
DH0028,12.88,14.19,South_Zone,1.234,49.7,14.05
DH0028,14.19,15.73,South_Zone,0.26,46.86,11.27
DH0028,15.73,17.4,South_Zone,0.596,49.11,15.61
DH0028,17.4,19.38,South_Zone,1.997,50.79,10.39
DH0028,19.38,20.97,South_Zone,2.89,44.79,13.13
DH0028,20.97,22.67,South_Zone,5.729,30.08,9.38
DH0028,22.67,24.23,South_Zone,3.335,40.74,10.62
DH0028,24.23,25.56,South_Zone,2.119,31.29,5.93
DH0028,25.56,27.21,South_Zone,1.826,49.78,9.95
DH0028,27.21,28.91,South_Zone,2.701,63.74,7.32
DH0028,28.91,29.94,South_Zone,2.979,29.16,10.43
DH0028,29.94,31.87,South_Zone,0.708,51.74,5.91
DH0028,31.87,33.27,South_Zone,3.05,39.18,8.36
DH0028,33.27,34.52,South_Zone,1.232,25.43,10.55
DH0028,34.52,35.9,South_Zone,2.328,37.57,8.53
DH0028,35.9,37.45,South_Zone,5.672,55.39,14.76
DH0028,37.45,38.63,South_Zone,2.457,47.07,13.95
DH0028,38.63,39.73,South_Zone,1.413,45.15,16.6
DH0028,39.73,41.05,South_Zone,1.866,40.0,11.35
DH0028,41.05,42.14,South_Zone,1.823,47.96,2.64
DH0028,42.14,43.83,South_Zone,0.664,40.5,15.98
DH0028,43.83,44.9,South_Zone,2.488,36.86,16.72
DH0028,44.9,46.33,South_Zone,4.098,27.56,12.13
DH0028,46.33,48.07,South_Zone,5.622,26.72,8.84
DH0028,48.07,49.68,South_Zone,0.413,59.19,10.35
DH0028,49.68,50.92,South_Zone,2.93,44.38,11.15
DH0028,50.92,52.04,South_Zone,0.526,53.54,12.74
DH0028,52.04,53.72,South_Zone,1.088,70.82,12.17
DH0028,53.72,55.36,South_Zone,0.892,44.29,9.27
DH0028,55.36,57.28,South_Zone,1.513,40.22,9.09
DH0028,57.28,59.18,South_Zone,2.199,58.98,13.49
DH0028,59.18,60.79,South_Zone,1.473,33.45,6.52
DH0028,60.79,62.12,South_Zone,0.152,35.07,14.63
DH0028,62.12,63.78,South_Zone,2.995,40.45,11.58
DH0028,63.78,65.38,South_Zone,1.373,43.34,21.73
DH0028,65.38,66.49,South_Zone,2.818,53.04,9.46
DH0028,66.49,68.27,South_Zone,1.71,48.53,12.18
DH0028,68.27,70.11,South_Zone,2.299,47.8,7.12
DH0028,70.11,71.72,South_Zone,4.184,49.27,7.53
DH0028,71.72,73.03,South_Zone,4.595,53.62,7.06
DH0028,73.03,74.16,South_Zone,2.422,46.73,13.73
DH0028,74.16,75.63,South_Zone,2.95,40.45,14.36
DH0028,75.63,77.33,South_Zone,2.29,24.2,5.41
DH0028,77.33,78.88,South_Zone,1.095,45.79,28.06
DH0028,78.88,80.38,South_Zone,0.789,47.63,23.88
DH0028,80.38,81.83,South_Zone,1.6,50.18,18.04
DH0028,81.83,82.92,South_Zone,2.745,36.28,11.62
DH0028,82.92,84.4,South_Zone,1.907,45.38,9.59
DH0028,84.4,86.19,South_Zone,2.19,38.14,16.18
DH0028,86.19,87.35,South_Zone,4.72,35.94,13.0
DH0028,87.35,88.85,South_Zone,1.022,37.25,18.14
DH0028,88.85,90.04,South_Zone,2.361,52.87,22.1
DH0028,90.04,91.08,South_Zone,1.664,34.0,21.52
DH0028,91.08,92.62,South_Zone,1.069,41.31,11.94
DH0028,92.62,93.71,South_Zone,0.902,53.25,9.2
DH0028,93.71,94.92,South_Zone,1.805,38.93,10.05
DH0028,94.92,96.06,South_Zone,2.65,47.58,9.02
DH0028,96.06,97.55,South_Zone,1.509,36.35,13.7
DH0028,97.55,99.2,South_Zone,1.196,56.7,5.2
DH0028,99.2,100.76,South_Zone,2.662,54.39,11.03
DH0028,100.76,102.13,South_Zone,3.407,28.46,13.67
DH0028,102.13,103.58,South_Zone,0.87,46.44,16.95
DH0028,103.58,104.93,South_Zone,3.423,50.94,6.31
DH0028,104.93,106.81,South_Zone,4.603,35.08,14.38
DH0028,106.81,108.06,South_Zone,1.355,41.27,6.57
DH0028,108.06,109.88,South_Zone,0.01,44.62,6.28
DH0028,109.88,111.23,South_Zone,1.836,42.06,14.86
DH0028,111.23,113.04,South_Zone,2.904,46.15,18.46
DH0028,113.04,114.46,South_Zone,2.166,49.72,12.56
DH0028,114.46,116.34,South_Zone,1.029,52.77,21.53
DH0028,116.34,117.74,South_Zone,0.971,50.62,14.99
DH0028,117.74,119.29,South_Zone,3.276,66.38,12.14
DH0028,119.29,120.59,South_Zone,1.555,50.09,10.63
DH0028,120.59,121.73,South_Zone,2.12,60.68,6.96
DH0028,121.73,123.57,South_Zone,3.917,45.28,7.52
DH0028,123.57,125.34,South_Zone,0.683,43.01,32.72
DH0028,125.34,127.11,South_Zone,1.298,21.72,12.31
DH0028,127.11,129.02,South_Zone,0.891,45.27,20.44
DH0028,129.02,130.6,South_Zone,0.942,47.5,10.14
DH0028,130.6,132.58,South_Zone,0.79,51.62,14.59
DH0028,132.58,134.11,South_Zone,1.803,56.96,21.6
DH0028,134.11,135.77,South_Zone,0.995,55.08,7.75
DH0028,135.77,137.19,South_Zone,1.013,49.59,8.96
DH0028,137.19,138.93,South_Zone,3.666,42.01,6.58
DH0028,138.93,140.78,South_Zone,0.929,46.84,9.37
DH0028,140.78,142.56,South_Zone,1.269,49.01,11.44
DH0028,142.56,144.55,South_Zone,0.614,53.81,29.69
DH0028,144.55,146.55,South_Zone,2.299,47.59,10.77
DH0028,146.55,147.64,South_Zone,1.577,47.2,10.06
DH0028,147.64,148.87,South_Zone,4.297,52.08,5.09
DH0028,148.87,150.49,South_Zone,2.361,31.25,3.99
DH0028,150.49,152.47,South_Zone,1.466,49.93,20.25
DH0028,152.47,153.52,South_Zone,2.816,32.76,10.94
DH0028,153.52,154.86,South_Zone,2.743,23.6,11.32
DH0028,154.86,156.7,South_Zone,1.522,37.21,13.1
DH0028,156.7,157.76,South_Zone,1.24,47.14,20.6
DH0028,157.76,159.18,South_Zone,0.558,35.08,15.75
DH0028,159.18,160.77,South_Zone,0.821,40.15,22.53
DH0028,160.77,162.21,South_Zone,1.507,41.88,13.92
DH0028,162.21,164.2,South_Zone,0.99,53.99,23.99
DH0028,164.2,165.29,South_Zone,1.054,48.54,19.01
DH0028,165.29,167.04,South_Zone,0.01,39.24,25.54
DH0028,167.04,168.06,South_Zone,0.981,54.84,16.47
DH0028,168.06,169.2,South_Zone,0.65,52.35,22.41
DH0028,169.2,170.71,South_Zone,1.213,55.54,26.71
DH0028,170.71,171.74,South_Zone,1.042,38.04,22.2
DH0028,171.74,173.35,South_Zone,0.517,35.58,20.23
DH0028,173.35,174.82,South_Zone,0.29,32.06,16.91
DH0028,174.82,176.07,South_Zone,0.995,57.32,11.31
DH0028,176.07,177.6,South_Zone,1.271,38.11,17.72
DH0028,177.6,179.18,South_Zone,1.007,43.06,14.43
DH0028,179.18,180.25,South_Zone,2.239,44.79,20.2
DH0028,180.25,182.1,South_Zone,0.644,44.41,21.07
DH0028,182.1,183.73,South_Zone,0.558,35.44,19.76
DH0028,183.73,185.47,South_Zone,1.321,50.41,18.9
DH0028,185.47,186.85,South_Zone,0.923,49.88,16.89
DH0028,186.85,188.15,South_Zone,0.654,42.98,20.13
DH0028,188.15,189.63,South_Zone,1.548,48.09,11.06
DH0028,189.63,190.96,South_Zone,0.444,28.9,19.87
DH0028,190.96,192.5,South_Zone,1.976,52.62,25.68
DH0028,192.5,193.58,South_Zone,0.919,47.14,12.78
DH0028,193.58,194.79,South_Zone,0.547,56.2,7.54
DH0028,194.79,195.96,South_Zone,1.885,55.48,20.5
DH0028,195.96,197.3,South_Zone,0.926,51.75,18.02
DH0028,197.3,198.94,South_Zone,0.678,46.64,18.55
DH0028,198.94,200.37,South_Zone,1.455,50.13,15.46
DH0028,200.37,201.63,South_Zone,1.063,50.54,8.16
DH0028,201.63,203.6,South_Zone,0.915,45.12,15.75
DH0028,203.6,205.36,South_Zone,0.96,48.04,18.65
DH0028,205.36,206.91,South_Zone,1.055,59.6,12.04
DH0028,206.91,208.83,South_Zone,0.766,36.3,13.85
DH0028,208.83,209.92,South_Zone,1.496,42.31,24.85
DH0028,209.92,211.63,South_Zone,0.973,57.65,20.08
DH0028,211.63,213.26,South_Zone,0.739,53.63,10.38
DH0028,213.26,215.1,South_Zone,1.412,55.03,20.85
DH0028,215.1,216.99,South_Zone,0.619,39.69,25.77
DH0028,216.99,218.92,South_Zone,1.981,48.49,9.94
DH0028,218.92,220.67,South_Zone,0.825,60.69,23.86
DH0028,220.67,221.85,South_Zone,1.401,46.41,25.21
DH0028,221.85,223.17,South_Zone,0.893,54.37,11.11
DH0028,223.17,224.67,South_Zone,0.241,37.31,25.45
DH0028,224.67,226.33,South_Zone,0.429,38.57,21.25
DH0028,226.33,227.98,South_Zone,1.547,49.6,24.43
DH0028,227.98,229.83,South_Zone,0.826,32.47,19.15
DH0028,229.83,231.65,South_Zone,0.736,48.61,16.66
DH0028,231.65,233.61,South_Zone,0.88,40.69,7.75
DH0028,233.61,235.38,South_Zone,0.98,46.33,14.98
DH0028,235.38,236.93,South_Zone,1.347,37.61,19.8
DH0028,236.93,238.0,South_Zone,1.0,43.16,16.33
DH0028,238.0,239.48,South_Zone,0.848,51.34,17.21
DH0028,239.48,240.95,South_Zone,1.519,51.34,16.46
DH0028,240.95,242.28,South_Zone,1.566,44.17,14.32
DH0028,242.28,243.96,South_Zone,0.897,50.19,25.07
DH0028,243.96,245.54,South_Zone,1.02,60.17,23.52
DH0028,245.54,246.56,South_Zone,1.106,53.27,11.84
DH0028,246.56,247.68,South_Zone,0.356,52.71,22.54
DH0028,247.68,248.85,South_Zone,1.429,41.03,13.15
DH0028,248.85,250.71,South_Zone,1.73,38.11,14.53
DH0028,250.71,252.23,South_Zone,0.84,46.52,17.43
DH0028,252.23,253.75,South_Zone,0.471,42.86,24.24
DH0028,253.75,255.16,South_Zone,0.344,37.67,22.34
DH0028,255.16,256.42,South_Zone,1.013,50.04,26.37
DH0028,256.42,258.37,South_Zone,0.203,32.9,15.24
DH0028,258.37,259.8,South_Zone,0.423,47.04,23.93
DH0028,259.8,261.65,South_Zone,0.447,44.68,17.87
DH0028,261.65,262.73,South_Zone,0.201,38.9,18.82
DH0028,262.73,264.48,South_Zone,0.111,40.78,19.7
DH0028,264.48,266.02,South_Zone,0.401,35.55,14.97
DH0028,266.02,267.99,South_Zone,0.517,47.89,17.98
DH0028,267.99,269.66,South_Zone,0.652,29.4,22.65
DH0028,269.66,271.13,South_Zone,1.239,25.76,19.7
DH0028,271.13,272.67,South_Zone,0.509,41.32,27.11
DH0028,272.67,274.25,South_Zone,0.948,35.66,19.08
DH0028,274.25,275.35,South_Zone,1.003,38.35,16.27
DH0028,275.35,276.6,South_Zone,0.339,38.99,25.31
DH0028,276.6,277.98,South_Zone,0.295,33.88,19.43
DH0028,277.98,279.25,South_Zone,0.541,41.36,23.79
DH0028,279.25,281.06,South_Zone,1.082,43.98,24.9
DH0028,281.06,283.02,South_Zone,0.151,33.4,23.55
DH0028,283.02,284.14,South_Zone,0.099,36.84,24.31
DH0028,284.14,285.23,South_Zone,1.024,41.6,15.71
DH0028,285.23,286.71,South_Zone,0.592,40.44,16.66
DH0028,286.71,287.86,South_Zone,0.191,35.01,17.14
DH0028,287.86,289.74,South_Zone,0.839,38.69,16.76
DH0028,289.74,291.38,South_Zone,0.412,44.98,21.92
DH0028,291.38,293.35,South_Zone,0.523,38.0,13.76
DH0028,293.35,295.31,South_Zone,0.798,49.21,18.44
DH0028,295.31,296.83,South_Zone,0.65,36.34,21.59
DH0028,296.83,298.21,South_Zone,0.836,47.38,17.11
DH0028,298.21,299.62,South_Zone,0.155,40.79,24.91
DH0028,299.62,300.65,South_Zone,0.191,44.77,15.13
DH0028,300.65,301.79,South_Zone,0.667,40.34,18.99
DH0028,301.79,302.82,South_Zone,0.743,38.22,20.31
DH0028,302.82,303.94,South_Zone,0.495,34.72,19.84
DH0028,303.94,305.7,South_Zone,0.422,35.39,19.99
DH0028,305.7,307.08,South_Zone,0.191,33.63,24.56
DH0028,307.08,308.99,South_Zone,0.871,25.17,25.31
DH0028,308.99,310.92,South_Zone,0.553,40.71,18.72
DH0028,310.92,311.94,South_Zone,1.019,34.7,25.9
DH0028,311.94,313.81,South_Zone,0.501,33.46,23.72
DH0028,313.81,315.27,South_Zone,0.347,36.32,26.16
DH0028,315.27,315.36,South_Zone,0.374,44.05,18.98
DH0029,0.0,1.76,South_Zone,2.279,38.14,9.12
DH0029,1.76,2.86,South_Zone,3.602,50.58,9.68
DH0029,2.86,4.6,South_Zone,4.441,46.4,1.93
DH0029,4.6,6.52,South_Zone,1.582,46.22,11.82
DH0029,6.52,8.26,South_Zone,1.206,47.6,12.7
DH0029,8.26,9.98,South_Zone,0.62,35.68,12.49
DH0029,9.98,11.48,South_Zone,3.029,60.01,8.57
DH0029,11.48,13.32,South_Zone,2.25,44.44,11.03
DH0029,13.32,15.02,South_Zone,4.582,44.88,8.06
DH0029,15.02,16.68,South_Zone,2.75,22.63,17.53
DH0029,16.68,18.65,South_Zone,2.476,52.42,8.44
DH0029,18.65,20.47,South_Zone,1.55,58.24,12.9
DH0029,20.47,22.15,South_Zone,1.662,46.12,13.28
DH0029,22.15,23.37,South_Zone,4.506,55.71,7.65
DH0029,23.37,25.26,South_Zone,0.01,42.36,11.53
DH0029,25.26,26.31,South_Zone,2.678,36.21,12.75
DH0029,26.31,27.96,South_Zone,0.983,37.98,3.12
DH0029,27.96,29.77,South_Zone,5.686,29.17,10.51
DH0029,29.77,30.89,South_Zone,1.758,39.53,7.56
DH0029,30.89,32.34,South_Zone,0.872,42.24,14.92
DH0029,32.34,33.81,South_Zone,1.777,32.81,19.3
DH0029,33.81,35.73,South_Zone,1.411,52.83,8.2
DH0029,35.73,37.25,South_Zone,2.103,42.66,8.07
DH0029,37.25,38.79,South_Zone,5.407,47.13,10.2
DH0029,38.79,40.41,South_Zone,4.508,42.75,14.57
DH0029,40.41,41.86,South_Zone,1.197,44.81,16.65
DH0029,41.86,43.29,South_Zone,3.422,33.49,14.43
DH0029,43.29,45.07,South_Zone,0.509,54.44,8.15
DH0029,45.07,46.52,South_Zone,1.03,52.95,22.8
DH0029,46.52,48.18,South_Zone,0.114,46.81,11.56
DH0029,48.18,49.33,South_Zone,2.075,53.77,15.56
DH0029,49.33,50.86,South_Zone,0.476,48.45,15.29
DH0029,50.86,51.98,South_Zone,1.924,36.4,12.95
DH0029,51.98,53.07,South_Zone,4.091,42.3,5.09
DH0029,53.07,54.18,South_Zone,1.436,44.63,23.13
DH0029,54.18,56.14,South_Zone,2.265,46.6,8.25
DH0029,56.14,57.72,South_Zone,2.539,44.02,9.55
DH0029,57.72,59.44,South_Zone,2.195,60.33,5.92
DH0029,59.44,61.22,South_Zone,4.276,41.39,7.92
DH0029,61.22,62.4,South_Zone,1.561,46.32,20.8
DH0029,62.4,63.47,South_Zone,4.641,36.04,8.25
DH0029,63.47,65.25,South_Zone,0.608,55.08,11.76
DH0029,65.25,67.02,South_Zone,3.162,54.01,10.45
DH0029,67.02,68.84,South_Zone,1.6,57.09,10.97
DH0029,68.84,69.89,South_Zone,4.495,56.34,7.21
DH0029,69.89,71.12,South_Zone,1.365,40.97,21.72
DH0029,71.12,72.72,South_Zone,3.556,44.2,15.74
DH0029,72.72,73.76,South_Zone,1.201,38.58,13.58
DH0029,73.76,74.98,South_Zone,0.939,43.92,8.7
DH0029,74.98,76.57,South_Zone,1.586,47.07,10.56
DH0029,76.57,78.14,South_Zone,1.921,49.73,13.12
DH0029,78.14,79.95,South_Zone,1.264,45.17,20.44
DH0029,79.95,81.22,South_Zone,2.131,35.18,8.27
DH0029,81.22,82.93,South_Zone,0.811,48.32,16.08
DH0029,82.93,83.96,South_Zone,3.444,50.9,13.42
DH0029,83.96,85.13,South_Zone,2.402,38.73,12.06
DH0029,85.13,86.28,South_Zone,1.483,58.76,14.7
DH0029,86.28,88.1,South_Zone,1.639,29.39,9.16
DH0029,88.1,90.07,South_Zone,0.458,35.64,9.36
DH0029,90.07,91.42,South_Zone,1.335,50.52,11.3
DH0029,91.42,93.12,South_Zone,1.719,54.22,17.54
DH0029,93.12,95.0,South_Zone,2.832,46.41,8.74
DH0029,95.0,96.1,South_Zone,0.534,40.34,22.85
DH0029,96.1,97.76,South_Zone,1.412,50.6,21.34
DH0029,97.76,99.14,South_Zone,1.754,47.63,15.88
DH0029,99.14,101.0,South_Zone,1.068,46.42,20.79
DH0029,101.0,102.51,South_Zone,1.323,50.38,19.11
DH0029,102.51,103.69,South_Zone,1.458,62.74,16.49
DH0029,103.69,105.62,South_Zone,1.998,44.73,13.01
DH0029,105.62,106.65,South_Zone,0.227,47.97,15.85
DH0029,106.65,107.75,South_Zone,0.476,46.25,13.31
DH0029,107.75,109.29,South_Zone,0.854,53.59,22.12
DH0029,109.29,110.33,South_Zone,1.324,49.01,15.16
DH0029,110.33,111.72,South_Zone,1.265,45.99,11.66
DH0029,111.72,113.19,South_Zone,2.102,46.14,21.88
DH0029,113.19,114.49,South_Zone,0.138,46.79,30.11
DH0029,114.49,116.21,South_Zone,1.073,56.19,28.37
DH0029,116.21,117.43,South_Zone,1.145,46.15,18.41
DH0029,117.43,118.87,South_Zone,1.23,37.11,15.87
DH0029,118.87,120.13,South_Zone,0.693,42.56,22.36
DH0029,120.13,121.99,South_Zone,0.614,34.76,12.59
DH0029,121.99,123.83,South_Zone,0.927,47.4,17.02
DH0029,123.83,125.06,South_Zone,0.843,49.9,28.76
DH0029,125.06,126.81,South_Zone,1.249,47.1,21.4
DH0029,126.81,128.67,South_Zone,0.259,38.45,24.62
DH0029,128.67,129.9,South_Zone,0.841,60.03,24.32
DH0029,129.9,131.84,South_Zone,1.398,56.31,15.41
DH0029,131.84,133.05,South_Zone,0.82,45.39,24.86
DH0029,133.05,134.52,South_Zone,0.69,48.9,7.92
DH0029,134.52,136.06,South_Zone,0.177,48.73,19.82
DH0029,136.06,137.94,South_Zone,0.884,49.12,19.14
DH0029,137.94,139.33,South_Zone,0.286,45.09,20.46
DH0029,139.33,141.31,South_Zone,2.017,41.75,12.58
DH0029,141.31,143.12,South_Zone,0.328,40.67,26.17
DH0029,143.12,144.56,South_Zone,1.325,28.72,21.98
DH0029,144.56,146.51,South_Zone,1.759,48.44,14.08
DH0029,146.51,147.79,South_Zone,0.879,39.43,16.56
DH0029,147.79,149.74,South_Zone,0.432,36.82,24.56
DH0029,149.74,151.51,South_Zone,1.135,37.19,17.49
DH0029,151.51,153.22,South_Zone,0.56,47.83,22.48
DH0029,153.22,154.29,South_Zone,1.035,39.11,21.2
DH0029,154.29,155.94,South_Zone,0.51,42.66,20.07
DH0029,155.94,157.16,South_Zone,0.307,41.68,17.88
DH0029,157.16,158.96,South_Zone,0.267,37.58,19.95
DH0029,158.96,159.99,South_Zone,0.31,31.94,19.41
DH0029,159.99,161.49,South_Zone,0.786,41.41,16.04
DH0029,161.49,163.49,South_Zone,1.027,38.07,19.59
DH0029,163.49,164.65,South_Zone,0.276,30.92,25.03
DH0029,164.65,166.05,South_Zone,0.779,47.3,15.68
DH0029,166.05,167.65,South_Zone,0.466,43.36,15.8
DH0029,167.65,169.63,South_Zone,0.486,39.16,16.57
DH0029,169.63,171.56,South_Zone,0.098,37.45,25.42
DH0029,171.56,173.37,South_Zone,0.654,36.18,25.11
DH0029,173.37,175.35,South_Zone,0.664,44.81,15.73
DH0029,175.35,177.06,South_Zone,0.687,35.97,19.82
DH0029,177.06,179.02,South_Zone,0.392,38.94,23.8
DH0029,179.02,180.33,South_Zone,0.253,39.81,18.68
DH0029,180.33,182.03,South_Zone,0.836,46.77,20.0
DH0029,182.03,183.19,South_Zone,0.309,34.93,20.37
DH0029,183.19,184.91,South_Zone,0.477,47.21,19.71
DH0029,184.91,186.47,South_Zone,0.848,39.87,25.88
DH0029,186.47,187.12,South_Zone,0.833,41.13,13.34
DH0030,0.0,1.28,North_Zone,1.213,46.11,15.2
DH0030,1.28,2.29,North_Zone,2.729,33.75,10.65
DH0030,2.29,3.34,North_Zone,1.971,56.03,12.62
DH0030,3.34,5.06,North_Zone,2.261,39.72,7.74
DH0030,5.06,6.1,North_Zone,2.668,39.16,16.42
DH0030,6.1,7.75,North_Zone,1.474,49.73,18.03
DH0030,7.75,9.19,North_Zone,1.676,44.85,11.17
DH0030,9.19,11.14,North_Zone,1.761,42.47,15.59
DH0030,11.14,12.7,North_Zone,1.891,48.51,15.29
DH0030,12.7,13.74,North_Zone,0.318,42.9,18.04
DH0030,13.74,15.12,North_Zone,0.16,49.5,17.76
DH0030,15.12,16.2,North_Zone,2.888,40.11,12.62
DH0030,16.2,17.5,North_Zone,1.467,43.34,15.71
DH0030,17.5,19.28,North_Zone,1.447,43.37,19.42
DH0030,19.28,21.26,North_Zone,2.484,40.45,11.33
DH0030,21.26,22.58,North_Zone,2.344,49.73,8.37
DH0030,22.58,24.08,North_Zone,1.477,48.48,10.88
DH0030,24.08,25.79,North_Zone,1.339,44.55,8.92
DH0030,25.79,27.47,North_Zone,1.273,55.09,14.44
DH0030,27.47,29.28,North_Zone,4.668,36.07,16.92
DH0030,29.28,30.83,North_Zone,2.223,60.78,14.44
DH0030,30.83,32.34,North_Zone,1.779,41.19,8.98
DH0030,32.34,33.69,North_Zone,3.983,41.82,12.18
DH0030,33.69,34.7,North_Zone,1.875,34.21,10.24
DH0030,34.7,36.06,North_Zone,2.72,41.4,9.55
DH0030,36.06,37.32,North_Zone,0.472,28.94,9.31
DH0030,37.32,38.97,North_Zone,2.051,55.87,17.11
DH0030,38.97,40.4,North_Zone,3.118,46.18,12.54
DH0030,40.4,41.55,North_Zone,1.045,40.64,10.37
DH0030,41.55,43.01,North_Zone,1.116,58.81,15.54
DH0030,43.01,44.32,North_Zone,2.529,62.56,11.46
DH0030,44.32,46.03,North_Zone,2.849,39.96,2.23
DH0030,46.03,47.72,North_Zone,3.843,55.58,11.06
DH0030,47.72,49.11,North_Zone,1.044,63.57,10.2
DH0030,49.11,50.14,North_Zone,3.77,34.97,12.12
DH0030,50.14,52.12,North_Zone,1.772,50.76,9.42
DH0030,52.12,53.81,North_Zone,1.426,49.98,18.95
DH0030,53.81,55.67,North_Zone,0.916,42.46,24.78
DH0030,55.67,57.21,North_Zone,3.451,44.01,11.45
DH0030,57.21,58.43,North_Zone,3.143,47.6,10.35
DH0030,58.43,60.13,North_Zone,1.44,52.95,11.52
DH0030,60.13,61.58,North_Zone,0.706,43.91,15.48
DH0030,61.58,62.62,North_Zone,1.157,38.96,10.63
DH0030,62.62,63.9,North_Zone,4.484,38.63,9.65
DH0030,63.9,65.43,North_Zone,1.417,49.17,18.9
DH0030,65.43,66.8,North_Zone,1.706,41.46,8.0
DH0030,66.8,67.86,North_Zone,0.778,37.14,10.08
DH0030,67.86,69.3,North_Zone,0.609,44.99,18.64
DH0030,69.3,70.58,North_Zone,1.544,42.29,16.38
DH0030,70.58,71.82,North_Zone,0.896,44.44,22.71
DH0030,71.82,73.54,North_Zone,1.464,46.17,12.06
DH0030,73.54,74.91,North_Zone,2.537,33.09,9.48
DH0030,74.91,75.95,North_Zone,1.542,42.01,13.91
DH0030,75.95,77.28,North_Zone,1.371,55.44,12.09
DH0030,77.28,78.4,North_Zone,0.647,46.61,18.34
DH0030,78.4,80.06,North_Zone,1.99,49.12,9.64
DH0030,80.06,81.25,North_Zone,2.103,45.13,18.24
DH0030,81.25,82.9,North_Zone,1.002,42.4,12.69
DH0030,82.9,84.75,North_Zone,2.803,45.75,6.94
DH0030,84.75,86.37,North_Zone,1.751,36.78,8.84
DH0030,86.37,88.15,North_Zone,1.385,51.15,8.23
DH0030,88.15,89.6,North_Zone,3.698,46.83,8.66
DH0030,89.6,91.43,North_Zone,1.016,42.24,18.34
DH0030,91.43,92.56,North_Zone,2.32,47.2,9.18
DH0030,92.56,93.78,North_Zone,0.695,42.04,24.98
